epoch_index,predicted_label,confidence_score
468,2,0.7419715
472,3,0.76296335
1136,2,0.72195196
1137,2,0.7920533
1193,3,0.7686441
1279,3,0.79880255
1452,3,0.7695341
1453,3,0.7588087
1648,3,0.7427843
1649,3,0.7416676
1650,1,0.6927379
1677,1,0.6920769
1678,1,0.76380765
1703,2,0.72340274
1704,3,0.75020075
1707,3,0.73480517
1709,2,0.7581061
3363,3,0.7790746
3364,3,0.7236022
3721,1,0.75121653
3722,2,0.64011174
4186,1,0.7260134
4187,3,0.7095807
4193,1,0.7799424
4987,3,0.76859885
4988,3,0.79837465
5368,3,0.699192
5369,3,0.71078265
