brain_state,confidence_score
2,0.99997973
2,0.9999652
2,0.99998105
2,0.9999869
2,0.99996614
2,0.9999013
2,0.9996093
2,0.99867827
2,0.9979565
2,0.99799514
2,0.9990502
2,0.99927205
2,0.9996778
2,0.99986136
2,0.9999157
2,0.99990237
2,0.99997044
2,0.99996686
2,0.99995327
2,0.9998406
2,0.9982324
2,0.97016823
3,0.9810565
3,0.993012
3,0.9911486
3,0.99435693
3,0.9960829
3,0.998009
3,0.9967629
3,0.99702317
3,0.99818146
3,0.9987948
3,0.9982685
3,0.9987214
3,0.999508
3,0.9990552
3,0.99921775
3,0.99930644
3,0.999506
3,0.9992083
3,0.99900097
3,0.9986625
3,0.9980368
3,0.9984413
3,0.9972819
3,0.994319
3,0.9784903
3,0.9923252
3,0.9928221
3,0.99573416
3,0.99751747
3,0.98852646
3,0.9960128
3,0.99851185
3,0.99902785
3,0.9986744
3,0.99818784
3,0.9977646
3,0.9979657
3,0.9982303
3,0.99850756
3,0.9976573
3,0.9983412
3,0.99765944
3,0.99283856
3,0.99579805
3,0.9946911
3,0.99626786
3,0.9965571
3,0.99560046
3,0.99078125
3,0.995229
3,0.997693
3,0.9969221
3,0.99678683
3,0.9983095
3,0.99925333
3,0.99951005
3,0.99901474
3,0.999382
3,0.99920803
3,0.9990338
3,0.9988695
3,0.9990761
3,0.99878544
3,0.99885154
3,0.9991757
3,0.99821055
3,0.9986235
3,0.9982443
3,0.9939792
3,0.9954181
3,0.99635315
3,0.9987649
3,0.99874747
3,0.99922574
3,0.9990902
3,0.99938023
3,0.99959487
3,0.99945134
3,0.99925095
3,0.99920684
3,0.99911994
3,0.99714065
3,0.9943317
3,0.99749434
3,0.9964759
3,0.9974757
3,0.99846303
3,0.99853957
3,0.9991487
3,0.99936885
3,0.9997296
3,0.9983897
3,0.9977691
3,0.9967236
3,0.9985373
3,0.9975902
3,0.998601
3,0.99836415
3,0.99873585
3,0.99793065
3,0.99197245
3,0.98583025
3,0.99484986
3,0.9973563
3,0.9983425
3,0.99879944
3,0.9993974
3,0.999121
3,0.9992391
3,0.99939144
3,0.99908614
3,0.99932194
3,0.9983058
3,0.9977616
3,0.9977016
3,0.9932963
3,0.97425824
3,0.9753525
3,0.9824891
2,0.99578553
2,0.9994771
2,0.99947196
2,0.9842067
3,0.99080104
3,0.9919349
3,0.99166095
3,0.99387157
3,0.99808866
3,0.9991007
3,0.9982121
3,0.99915814
3,0.99883085
3,0.9983199
3,0.99744844
3,0.9987979
3,0.99887913
3,0.99919873
3,0.9989685
3,0.9977375
3,0.99325895
3,0.9923753
3,0.9970407
3,0.9973828
3,0.99723876
3,0.9984113
3,0.99769574
3,0.9986047
3,0.99568236
3,0.9958275
3,0.99624
3,0.9945952
3,0.9853242
3,0.98416394
3,0.99748456
3,0.9977457
3,0.99490756
3,0.9968299
3,0.99720085
3,0.9979195
3,0.9967938
3,0.99633455
3,0.9919395
3,0.983691
3,0.99385226
3,0.99656963
3,0.9958234
3,0.997265
3,0.99816567
3,0.99925274
3,0.99901426
3,0.9990583
3,0.99850225
3,0.9991788
3,0.9988887
3,0.9990608
3,0.99922276
3,0.9933007
2,0.9625242
2,0.9967415
2,0.9989961
2,0.999783
2,0.99984074
2,0.99982834
2,0.99981385
2,0.9999366
2,0.99993765
2,0.99994385
2,0.99979454
2,0.9997832
2,0.99950683
2,0.99962056
2,0.9921639
3,0.99927956
3,0.997428
3,0.9974234
3,0.9971787
3,0.99787474
3,0.9981096
3,0.99862385
3,0.9988036
3,0.99906975
3,0.99925774
3,0.998638
3,0.9978529
3,0.99669206
3,0.99508756
3,0.986751
3,0.9831163
3,0.98766744
3,0.98601156
2,0.98236
2,0.99356407
3,0.97844666
2,0.9965976
2,0.9980234
2,0.99911267
2,0.9988362
3,0.9882068
3,0.99769574
3,0.99821496
3,0.9992804
3,0.9993734
3,0.99893516
3,0.9978033
3,0.9971008
3,0.99212974
3,0.9646452
2,0.9955245
2,0.9982388
2,0.9670547
3,0.99499065
3,0.9948084
3,0.9973961
3,0.99863297
3,0.99858934
3,0.9976324
3,0.9958442
3,0.9986852
3,0.9939924
3,0.9967483
3,0.99606115
3,0.9983942
3,0.99689865
3,0.9973846
3,0.9981713
3,0.9921267
3,0.9891698
3,0.9718445
2,0.9864991
3,0.98920983
3,0.99452966
3,0.99854964
3,0.99810094
3,0.9975611
3,0.99561286
3,0.9923678
3,0.99117965
3,0.9974239
3,0.997417
3,0.9971123
3,0.99893993
3,0.9992331
3,0.99947864
3,0.9988487
3,0.99822646
3,0.9994764
3,0.9996061
3,0.9996575
3,0.9996376
3,0.9996555
3,0.99903893
3,0.9967964
3,0.99651057
3,0.9651349
1,0.79909456
3,0.7415686
3,0.9055414
3,0.95308703
2,0.96312046
2,0.9959794
2,0.9964813
3,0.99571407
3,0.99547935
3,0.993697
3,0.9959474
3,0.9941816
3,0.99391985
3,0.99856997
3,0.9993186
3,0.9993808
3,0.9994735
3,0.9991498
3,0.9996008
3,0.99949574
3,0.99910235
3,0.9986595
3,0.99626285
3,0.99638855
3,0.99793315
3,0.999514
3,0.9993018
3,0.9996892
3,0.9995185
3,0.9994148
3,0.99923074
3,0.9993543
3,0.99956506
3,0.9993863
3,0.99811363
3,0.9965563
3,0.9799432
3,0.99031574
3,0.9466395
2,0.9525311
2,0.98840094
2,0.9875951
2,0.99160504
2,0.9757716
3,0.98234046
3,0.99578094
3,0.996563
3,0.9962668
3,0.99704236
3,0.9978098
3,0.9990134
3,0.99885225
3,0.9976472
3,0.9986052
3,0.9996613
3,0.9995245
3,0.99875593
3,0.9991623
3,0.9984854
3,0.9964051
3,0.9973471
3,0.99752
3,0.9958022
3,0.99221414
3,0.99095786
3,0.98691887
2,0.99449337
2,0.9994273
2,0.9999443
2,0.99997616
2,0.9999851
2,0.9998229
3,0.9702284
3,0.99436945
3,0.9958925
3,0.9989926
3,0.9989561
3,0.99909914
3,0.9994918
3,0.99870694
3,0.99711215
3,0.9977816
3,0.99921393
3,0.9985696
3,0.9981109
3,0.9967654
3,0.99732447
3,0.99757475
3,0.9992655
3,0.99939084
3,0.9993082
3,0.9992287
3,0.9991448
3,0.99916446
3,0.99820054
3,0.9974413
3,0.98880124
2,0.9974159
2,0.9946932
2,0.9732239
3,0.99600405
3,0.99581087
3,0.9975683
3,0.9988097
3,0.999508
3,0.9992343
3,0.99930954
3,0.9985701
3,0.9977344
3,0.99775475
3,0.998691
3,0.99930954
3,0.9983485
3,0.9970407
3,0.9982482
3,0.9994592
3,0.9996431
3,0.9994929
3,0.99944335
3,0.99934965
3,0.9992126
3,0.99870527
3,0.99261874
3,0.9955056
3,0.9918058
3,0.98102206
1,0.9661239
1,0.9662199
1,0.9617315
1,0.95941705
1,0.9870881
1,0.9899858
1,0.99674404
1,0.99825984
1,0.99801993
1,0.9992711
1,0.9994566
1,0.999464
1,0.999448
1,0.99971706
1,0.99962604
1,0.9995696
1,0.99944276
1,0.99831676
1,0.9984205
1,0.99911803
1,0.99800545
1,0.9986117
1,0.9979519
1,0.9984394
1,0.996858
1,0.9970927
1,0.9988613
1,0.99895394
1,0.99872005
1,0.9973756
1,0.99483913
1,0.99398696
1,0.9970829
1,0.99584526
2,0.99740857
2,0.99952793
2,0.99918526
2,0.97420394
2,0.92333275
3,0.922717
3,0.8969041
3,0.7966984
3,0.80413026
2,0.8362085
2,0.985154
2,0.98921376
2,0.9713164
2,0.93114406
2,0.8674904
3,0.9022799
3,0.9246717
2,0.9320133
2,0.9575715
3,0.9844311
3,0.99674124
3,0.9985654
3,0.99875784
3,0.99920684
3,0.99926764
3,0.9994697
3,0.99879634
3,0.9944892
3,0.97643346
2,0.9900461
2,0.9859428
3,0.9741465
3,0.99432206
3,0.9976609
3,0.9972664
3,0.9957995
3,0.9951971
3,0.9939353
3,0.99623966
3,0.9962204
3,0.9959008
3,0.9988323
3,0.9987716
3,0.99856794
3,0.9982621
3,0.9991391
3,0.9992305
3,0.9980568
3,0.9961372
3,0.9967998
3,0.997408
3,0.9972959
3,0.9831472
3,0.97192794
2,0.9691917
3,0.9929669
3,0.9985777
3,0.99884546
3,0.9987124
3,0.9986646
3,0.999099
3,0.99937135
3,0.9980509
3,0.99838555
3,0.9995136
3,0.99945635
3,0.9992887
3,0.99959177
3,0.9996582
3,0.99925095
3,0.9994517
3,0.9994293
3,0.9974738
3,0.9961733
3,0.98822534
3,0.9890103
2,0.99352527
3,0.9829658
3,0.996808
3,0.99615806
3,0.99277264
3,0.9948737
3,0.99672544
